"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Expert Info","Info"
"1","0.000000","192.168.1.151","54.149.94.178","TLSv1.2","124","51218","443","","Application Data"
"2","0.001261","192.168.1.151","54.149.94.178","TLSv1.2","124","51219","443","","Application Data"
"3","0.011076","192.168.1.151","104.244.42.193","TCP","54","51667","443","","51667  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"4","0.049109","104.244.42.193","192.168.1.151","TCP","66","443","51667","Warning","[TCP ACKed unseen segment] 443  >  51667 [ACK] Seq=1 Ack=2 Win=296 Len=0 TSval=3734050338 TSecr=1225843016"
"5","0.085047","54.149.94.178","192.168.1.151","TCP","66","443","51218","","443  >  51218 [ACK] Seq=1 Ack=59 Win=10 Len=0 TSval=841716682 TSecr=1225978277"
"6","0.085049","54.149.94.178","192.168.1.151","TCP","66","443","51219","","443  >  51219 [ACK] Seq=1 Ack=59 Win=10 Len=0 TSval=1316916866 TSecr=1225978278"
"7","0.227351","192.168.1.1","255.255.255.255","UDP","215","48952","7437","","48952  >  7437 Len=173"
"8","0.755385","192.168.1.151","52.23.32.39","TLSv1.2","129","51284","443","","Application Data"
"9","0.774134","192.168.1.151","172.217.12.14","UDP","75","54854","443","","54854  >  443 Len=33"
"10","0.804934","172.217.12.14","192.168.1.151","UDP","67","443","54854","","443  >  54854 Len=25"
"11","0.811915","52.23.32.39","192.168.1.151","TLSv1.2","125","443","51284","","Application Data"
"12","0.811978","192.168.1.151","52.23.32.39","TCP","66","51284","443","","51284  >  443 [ACK] Seq=64 Ack=60 Win=2047 Len=0 TSval=1225979084 TSecr=2580739294"
"13","0.936947","192.168.1.151","54.149.94.178","TLSv1.2","122","51218","443","","Application Data"
"14","0.982162","54.149.94.178","192.168.1.151","TCP","66","443","51218","","443  >  51218 [ACK] Seq=1 Ack=115 Win=10 Len=0 TSval=841716906 TSecr=1225979207"
"15","0.982165","54.149.94.178","192.168.1.151","TLSv1.2","122","443","51218","","Application Data"
"16","0.982229","192.168.1.151","54.149.94.178","TCP","66","51218","443","","51218  >  443 [ACK] Seq=115 Ack=57 Win=2047 Len=0 TSval=1225979251 TSecr=841716906"
"17","2.107128","192.168.1.151","54.149.94.178","TLSv1.2","122","51219","443","","Application Data"
"18","2.156465","54.149.94.178","192.168.1.151","TCP","66","443","51219","","443  >  51219 [ACK] Seq=1 Ack=115 Win=10 Len=0 TSval=1316917383 TSecr=1225980372"
"19","2.156468","54.149.94.178","192.168.1.151","TLSv1.2","122","443","51219","","Application Data"
"20","2.156523","192.168.1.151","54.149.94.178","TCP","66","51219","443","","51219  >  443 [ACK] Seq=115 Ack=57 Win=2047 Len=0 TSval=1225980420 TSecr=1316917383"
"21","2.707611","192.168.1.151","192.241.241.147","TCP","54","51389","443","","51389  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"22","2.762980","192.241.241.147","192.168.1.151","TCP","66","443","51389","Warning","[TCP ACKed unseen segment] 443  >  51389 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3133806279 TSecr=1225935842"
"23","2.893219","34.206.167.66","192.168.1.151","TLSv1.2","133","443","51229","","Application Data"
"24","2.893275","192.168.1.151","34.206.167.66","TCP","66","51229","443","","51229  >  443 [ACK] Seq=1 Ack=68 Win=2046 Len=0 TSval=1225981153 TSecr=2310365236"
"25","3.299283","192.168.1.1","255.255.255.255","UDP","215","48952","7437","","48952  >  7437 Len=173"
"26","3.665474","192.168.1.151","192.168.1.205","TCP","78","52803","6690","Chat","52803  >  6690 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1225981924 TSecr=0 SACK_PERM=1"
"27","3.672066","192.168.1.205","192.168.1.151","TCP","74","6690","52803","Chat","6690  >  52803 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=730073052 TSecr=1225981924 WS=128"
"28","3.672115","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1225981930 TSecr=730073052"
"29","3.672235","192.168.1.151","192.168.1.205","TLSv1.2","202","52803","6690","Warning","Ignored Unknown Record"
"30","3.677371","192.168.1.205","192.168.1.151","TCP","66","6690","52803","","6690  >  52803 [ACK] Seq=1 Ack=137 Win=30080 Len=0 TSval=730073056 TSecr=1225981930"
"31","3.677373","192.168.1.205","192.168.1.151","TLSv1.2","436","6690","52803","Warning","Ignored Unknown Record"
"32","3.677413","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=137 Ack=371 Win=131392 Len=0 TSval=1225981935 TSecr=730073057"
"33","3.683921","192.168.1.151","192.168.1.205","TLSv1.2","230","52803","6690","","Client Hello"
"34","3.686958","192.168.1.205","192.168.1.151","TLSv1.2","951","6690","52803","","Server Hello, Certificate, Server Hello Done"
"35","3.686994","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=301 Ack=1256 Win=130496 Len=0 TSval=1225981944 TSecr=730073067"
"36","3.687210","192.168.1.151","192.168.1.205","TLSv1.2","384","52803","6690","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
